ID,Class,Question
1642,Pet Supplies,"I see that a couple of people have asked for the dimensions. Does anybody know them? My dog is 12"" at shoulder but only 5 pounds. Help, please."
1643,Toys and Games,Size Please?
1644,Electronics,Is the base of the lens (the screw-on part) plastic or metal?
1645,Toys and Games,How many different sizes are there in the package?
1646,Tools and Home Improvement,Does the polisher come with a backing plate? Can I just use it out of the box?
1647,Home and Kitchen,Dose the brush fit a Dyson?
1648,Electronics,windows 8.1?
1649,Home and Kitchen,does it light up blue or have blue glass as shown in the photo
1650,Tools and Home Improvement,Can this be used to determine if one outlet is downstream on the same circuit from another?
1651,Home and Kitchen,Can this be used to cook 1 or 2 servings of frozen vegetables on high?
1652,Grocery and Gourmet Food,Do these freeze well?
1653,Automotive,Will this fit on to a 2014 2 door Jeep Wrangler?
1654,Electronics,Does the mouse use a ball for tracking or a laser?
1655,Automotive,do i need to buy anything else to make the door handles fit? r do i need to buy something else?
1656,Home and Kitchen,Two levels would be just a tiny bit too high to fit in my cabinet. Could I stack two rows using only two side pieces and two long pieces?
1657,Cell Phones and Accessories,"I have an old Kyocera flip phone, will this handset work or if I need an adapter, what kind would I need?"
1658,Patio Lawn and Garden,Does it have a padded seat? Or can u buy on that fits for it?
1659,Office Products,How difficult is the assembling?
1660,Pet Supplies,Is there a way to keep the top open as shown?
1661,Automotive,Will this work on a 2012 Jeep Patriot
1662,Electronics,Is this component truly compatible to the iPad & ipod
1663,Home and Kitchen,How well insulated is the oven?
1664,Electronics,Power supply? 220 or 110 or both?
1665,Electronics,Does this tripod come with the ball head or does it need to be purchased separately? Thanks
1666,Home and Kitchen,How far is it from the corner along the wall to the front edge of the piece and from the corner to the center front of the piece? Thanks!
1667,Sports and Outdoors,Will this unit work on model 37010-1000 12 volt
1668,Automotive,80X8 X6 - 80 LONG / 8 ? / 6 ? - HOW WIDE IS STEP????????????
1669,Sports and Outdoors,"Good walking stroller for around a paved reservior for my 3 year old who is 40"" ?"
1670,Grocery and Gourmet Food,"Hello we love this popcorn and have ordered a case before. The picture shows crimson, we want to ensure it is the black kernal. Can you confirm?"
1671,Electronics,Can this product be used without a sling box? I need to extend my home network without running Ethernet cables.
1672,Home and Kitchen,"How much weight would you say the top comfortably holds, once lifted? Is it pretty sturdy?"
1673,Toys and Games,"Are there a fairly equal amount in each size, or are they mostly the smallest ones?"
1674,Tools and Home Improvement,"Unfortunately, I really need an exact height. Can anyone give me a measured height while opened up? Thanks so much"
1675,Sports and Outdoors,Will these collars work with a threaded bar?
1676,Patio Lawn and Garden,Does this have a temperature gauge?
1677,Sports and Outdoors,I am an 10.5 mens size sometimes 11 are these fins sized smaller or big?
1678,Tools and Home Improvement,Can this item be left outside? Or stored outside in the elements? I would like to use it to power my bird bath heater. Thank you.
1679,Electronics,i'ts about the Lenovo Yoga Bluetooth Keyboard Cover Tablet 10 ca y use it on my Lenovo Yoga Tablet 10 Because the item saise for the yoga HD + 10
1680,Home and Kitchen,"Does anyone else's fan wobble? I just bought this fan and it seems to wobble a little bit on all 3 speeds. Also, it seems that the tilting feature moves around if I try to aim it down slightly and turn on the fan. Anyone else have issues like these?"
1681,Pet Supplies,our dog is a puppy chewer and nothing last. Will the moose last alligator sharp teeth. She is only 15 weeks but KONG toys are the only survivors
1682,Electronics,Will this capture card be useful for live-streaming?
1683,Tools and Home Improvement,I bought a smaller version and it became too hot to handle after 10 - 15 minutes use. Is that the case with the 88031? Thank you.
1684,Electronics,"Anyone got their MB from Amazon I just ordered yesterday and got a delivery date of July 31st! Ike! Has anyone actually gotten their MB, and should I not believe this estimate? ( Please tell me yes, on both accounts )."
1685,Electronics,Are these sleeves for 45 rpm records?
1686,Electronics,what kind of failure rate on these things---in regards to frequent rewriting
1687,Pet Supplies,"Has anyone tried the Walkydog? If so, how does this device compare?"
1688,Tools and Home Improvement,size
1689,Electronics,How is the battery life? Is it rechargable or store bought batteries?
1690,Tools and Home Improvement,Can these be used for washing dishes?
1691,Cell Phones and Accessories,"Will this case fit a galaxy 3 note, which is bigger than the regular s3 or s4"
1692,Home and Kitchen,Would this chair be suitable as a dining table chair?
1693,Toys and Games,How are they packaged? In a box? Or loose cards? Want to give as a gift and want it to look nice.
1694,Office Products,Is is good for soft art pencils?
1695,Electronics,how can I connect speaker to laptop using bluetooth?
1696,Cell Phones and Accessories,How does Plantronics Legend UC work with Dragon Professional Legal?
1697,Patio Lawn and Garden,i have a 8000 watt troybuilt gen can I use this if not ran at full capacity?
1698,Electronics,My child is still in a rear facing carseat. Will this work attached to the front of a headrest as well?
1699,Patio Lawn and Garden,"The product description states ""resistant to rain"". Is this the same as waterproof ? Can you leave it on the grill at all times?"
1700,Patio Lawn and Garden,Does this unit turn off by itself after finishing cycle? I have one and it never shuts off. The one I had prior would stop after several hours.
1701,Home and Kitchen,Will this work on a Vilas wooden arm chair?
1702,Sports and Outdoors,How long does it take to fill this gun up to 2000 psi?
1703,Cell Phones and Accessories,"Hello, how does the faux leather feel? Is it soft to touch, cause it does look shiny like plastic, which got me wondering. Thank you!"
1704,Electronics,Can you use this in Europe with battery powered tools that have a 110v charger?
1705,Toys and Games,how tall is this in inches?
1706,Automotive,can you charge a 2006 Porsche Cayanne S or a 2001 Audi S4 through the cigarette lighter ?
1707,Sports and Outdoors,would i be able to paint or stain it myself?
1708,Grocery and Gourmet Food,"So, does this come in a handy plastic jar, as pictured, or in a cellophane bag, as one reviewer complained?"
1709,Tools and Home Improvement,does this plug in or is wiring into wall required?
1710,Tools and Home Improvement,"If the mount unit turns the light on, can the wired unit turn the light off? Does the wired unit need to be on always? Switches used Interchangeably?"
1711,Pet Supplies,"Is this an empty diffuser, or does it include the bottle of chemical PLUS another refill"
1712,Home and Kitchen,What size is it?
1713,Home and Kitchen,Seasoning Hard-Anodized Pan Is it necessary to season this pan? Is it even possible. Thanks.
1714,Toys and Games,is this adult size or children's size?
1715,Musical Instruments,Will this work plugged directly into a mixer?
1716,Pet Supplies,Does the crate collapse for storage?
1717,Home and Kitchen,Does it run quietly?
1718,Electronics,Will these work OK when wearing eye glasses?
1719,Pet Supplies,"Curious how you all are ""storing"" the picked up poop? We have trash collection once a week and need to keep the picked up poop *somewhere* till then."
1720,Home and Kitchen,"Simple question: Does this cup have PYREX in capital letters or pyrex in small letters on it? Capitals are pictured, but...."
1721,Musical Instruments,Where was this guitar made?
1722,Toys and Games,How does it compare to HO scale trains? I want to use this with our Dept. 56 Christmas Village.
1723,Electronics,"What is the maximum extension of each arm? I'd like to fit a 27"" (12lb) and a 22"" (18lb) angled side by side. Will the weight not cause it to tip?"
1724,Home and Kitchen,Are these square?
1725,Toys and Games,Are batteries included?
1726,Home and Kitchen,Is it air tight?
1727,Electronics,"Will these work with other DVD units, not produced by Alpine? I have read two comments that say they did not work with their DVD players (Pyle)."
